document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
29,5,exercises,ORCCAZQwbyDjF7H,,,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,,,,,,
30,6,introduction,ORCCAtkfyDcWIhg,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAtkfyDcWIhg,Introduction,,,
31,6,introduction,ORCCAkuY7E401Sk,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAkuY7E401Sk,Introduction,,,
32,6,introduction,ORCCAVTGYrAxzcY,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAVTGYrAxzcY,Introduction,,,
33,6,introduction,ORCCAjjTS4OywPw,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAjjTS4OywPw,Introduction,,,
34,6,introduction,ORCCAKIQG5oaYdw,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAKIQG5oaYdw,Introduction,,,
35,6,introduction,ORCCAq4LevWAnLU,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAq4LevWAnLU,Introduction,,,
36,6,introduction,ORCCAvglzBdj6pK,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAvglzBdj6pK,Introduction,,,
37,6,introduction,ORCCAXxIl1qqca5,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAXxIl1qqca5,Introduction,,,
38,6,introduction,ORCCAnnRl9vbRLM,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAnnRl9vbRLM,Introduction,,,
39,6,introduction,ORCCA7krbZyrEIZ,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCA7krbZyrEIZ,Introduction,,,
40,6,introduction,ORCCAQ5NG1BubTi,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCAAnFMUrVenl,Open Resources for Community College Algebra,part,ORCCA1iDVJ49ncn,Linear Equations and Lines,chapter,ORCCA3jwFP72RXL,"Variables, Expressions, Equations, and Inequalities",section,ORCCAktdhZHIlkt,Variables and Evaluating Expressions,exercises,ORCCAZQwbyDjF7H,,introduction,ORCCAQ5NG1BubTi,Introduction,,,
