original_id,new_id,node_type,node_title,source_path
,ORCCAfCaeDxZVsk,subsection,Solving Two-Step Equations,section-solving-multistep-linear-equations.ptx
,ORCCAbu60k0Q1Oe,subsection,Solving Multistep Linear Equations,section-solving-multistep-linear-equations.ptx
,ORCCAEMphEoLSHU,subsection,Revisiting Applications,section-solving-multistep-linear-equations.ptx
,ORCCApyhQHF0EJH,subsection,"Differentiating between Simplifying Expressions, Evaluating Expressions and Solving Equations",section-solving-multistep-linear-equations.ptx
,ORCCAqtlSRYOFZx,exercises,,section-solving-multistep-linear-equations.ptx
,ORCCA8PQLJBHFmg,introduction,Introduction,section-solving-multistep-linear-equations.ptx
,ORCCAvqdwuo9qSZ,introduction,Introduction,section-solving-multistep-linear-equations.ptx
,ORCCAeK9yigMroV,introduction,Introduction,section-solving-multistep-linear-equations.ptx
,ORCCAjFGXc8Yftm,introduction,Introduction,section-solving-multistep-linear-equations.ptx
,ORCCAzj6V5OSMZR,introduction,Introduction,section-solving-multistep-linear-equations.ptx
section-solving-multistep-linear-inequalities,ORCCA4IVqBvC6Uo,section,Solving Multistep Linear Inequalities,section-solving-multistep-linear-inequalities.ptx
,ORCCAoL1DHAWAOJ,introduction,Introduction,section-solving-multistep-linear-inequalities.ptx
,ORCCA2l5EBCUwAo,subsection,Solving Multistep Inequalities,section-solving-multistep-linear-inequalities.ptx
,ORCCApjdEYEgUBZ,subsection,Applications,section-solving-multistep-linear-inequalities.ptx
,ORCCAvovb1KdiJ5,exercises,,section-solving-multistep-linear-inequalities.ptx
,ORCCAx9WVMO0AnS,introduction,Introduction,section-solving-multistep-linear-inequalities.ptx
,ORCCAeBamfu3jRI,introduction,Introduction,section-solving-multistep-linear-inequalities.ptx
,ORCCAzypWRiz296,introduction,Introduction,section-solving-multistep-linear-inequalities.ptx
,ORCCAypdMpKaQ4Q,introduction,Introduction,section-solving-multistep-linear-inequalities.ptx
,ORCCAt3dpJDBc6b,introduction,Introduction,section-solving-multistep-linear-inequalities.ptx
,ORCCApbTMo8ij05,introduction,Introduction,section-solving-multistep-linear-inequalities.ptx
